                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.47873,                0.39951,                0.91629,                0.96987,                0.99029,                0.98436,                0.84358,                 0.5882,                0.36194,                0.94285,             0.00059429,             0.00059429,             0.00059429
                     67,                0.46371,                 0.3718,                0.89864,                0.98075,                0.98927,                0.98815,                0.84327,                0.60797,                0.36769,                0.95636,             0.00057778,             0.00057778,             0.00057778
                     68,                0.46214,                0.38478,                0.90139,                0.97965,                0.99029,                0.98483,                0.83731,                0.60396,                0.37625,                   0.93,             0.00056128,             0.00056128,             0.00056128
                     69,                0.47969,                0.38806,                0.91059,                0.95723,                0.99029,                0.98816,                0.85094,                0.61531,                0.36437,                0.96558,             0.00054478,             0.00054478,             0.00054478
                     70,                0.46725,                0.37156,                0.91378,                0.97948,                0.99029,                0.98841,                0.85053,                0.60867,                0.36085,                0.93796,             0.00052827,             0.00052827,             0.00052827
                     71,                0.45046,                0.36013,                0.90593,                0.97142,                0.99029,                0.98928,                0.84389,                0.60852,                0.35792,                0.94245,             0.00051177,             0.00051177,             0.00051177
                     72,                0.45398,                0.36184,                0.91138,                0.97113,                0.97964,                0.98854,                0.84336,                0.60734,                0.36397,                0.93991,             0.00049527,             0.00049527,             0.00049527
                     73,                0.45009,                0.35414,                0.89859,                0.97916,                0.99029,                 0.9873,                0.83596,                0.61477,                0.34978,                 0.9472,             0.00047876,             0.00047876,             0.00047876
                     74,                0.44824,                0.35567,                0.90294,                0.98054,                0.99029,                0.98702,                0.83973,                0.60276,                0.35298,                0.92646,             0.00046226,             0.00046226,             0.00046226
                     75,                0.44395,                0.34975,                0.89262,                0.97767,                0.97087,                0.98268,                0.83478,                0.61925,                 0.3763,                0.95319,             0.00044576,             0.00044576,             0.00044576
                     76,                0.43695,                0.34877,                0.89501,                0.97679,                0.99029,                0.98797,                 0.8316,                 0.6246,                 0.3683,                 0.9528,             0.00042925,             0.00042925,             0.00042925
                     77,                0.44367,                 0.3492,                 0.9006,                0.98076,                0.98962,                0.99102,                0.83585,                0.62183,                0.36907,                0.97332,             0.00041275,             0.00041275,             0.00041275
                     78,                 0.4317,                0.34857,                 0.8944,                0.97972,                0.99029,                0.98632,                 0.8458,                0.59773,                0.35898,                0.93279,             0.00039625,             0.00039625,             0.00039625
